"dates","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
2001-12-15,0,18,10,0,6,0,14,14,4,0,0,0,0,0,4,0,0,0,0,0,0
2002-01-12,0,18,12,0,2,0,14,12,6,0,0,0,0,0,0,0,0,0,0,0,0
2002-02-09,0,23,12,0,3,0,2,16,2,0,0,0,0,0,3,0,1,0,0,1,0
2002-03-13,0,30,17,0,2,0,5,14,0,2,0,0,0,0,9,0,0,0,0,0,0
2002-04-16,0,25,21,0,3,0,6,13,0,2,0,1,0,0,23,0,0,0,0,1,0
2002-05-15,0,25,20,0,2,0,2,22,6,1,0,0,0,0,21,0,0,0,0,0,0
2002-06-15,0,16,18,0,2,0,3,26,3,0,0,0,0,0,24,0,0,0,0,0,0
2002-07-13,0,14,15,0,1,0,2,25,2,1,0,2,0,0,36,0,0,0,0,0,0
2002-09-08,0,10,5,0,2,0,1,6,0,0,0,1,0,0,9,0,0,0,0,0,0
2002-10-05,0,17,7,0,3,1,4,24,0,1,0,0,0,0,23,0,0,0,0,0,0
2002-11-09,0,16,12,0,2,1,9,28,0,1,0,0,0,0,12,0,0,0,1,1,0
2002-12-07,0,17,13,0,2,1,6,31,3,1,0,0,0,0,7,0,0,0,1,0,0
2002-12-29,0,17,8,0,2,1,2,27,0,0,0,0,0,0,4,0,0,1,2,0,0
2003-02-01,0,26,21,0,2,0,6,31,6,2,0,0,0,0,7,0,2,0,0,0,0
2003-03-06,0,27,26,0,1,1,8,34,7,4,0,1,0,0,8,0,0,0,4,0,0
2003-03-29,0,23,23,0,3,1,10,29,6,0,0,2,0,0,27,0,1,0,5,0,0
2003-05-03,0,23,17,0,3,5,18,27,2,2,0,2,0,0,34,0,1,0,3,1,0
2003-05-28,0,23,16,0,2,4,17,35,0,6,0,2,0,0,35,0,1,0,2,1,0
2003-06-28,0,21,15,0,1,1,15,32,0,2,0,2,0,0,40,0,0,0,1,1,0
2003-07-28,0,18,9,0,4,0,11,31,2,2,0,2,0,0,38,0,0,0,1,1,0
2003-08-23,0,18,8,1,1,1,10,26,2,1,0,0,0,0,29,0,0,0,0,0,0
2003-09-27,0,16,11,0,0,2,15,23,2,1,0,0,0,0,7,0,0,0,0,0,0
2003-10-25,0,16,7,0,1,1,14,18,5,0,0,0,0,0,5,0,1,0,0,0,0
2003-11-22,0,13,9,0,2,0,6,13,3,0,0,1,0,0,1,0,0,0,0,0,0
2003-12-20,0,21,7,0,1,0,5,12,2,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-24,0,18,8,0,1,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-21,0,17,10,0,2,0,4,8,3,0,0,0,0,0,1,0,0,0,0,0,0
2004-03-17,0,13,3,0,0,0,3,10,0,0,0,0,0,0,3,0,0,0,0,0,0
2004-04-17,0,15,5,0,1,0,5,2,0,0,0,0,0,0,11,0,0,0,0,0,0
2004-05-17,0,19,15,0,1,0,3,7,0,0,0,1,0,0,15,0,0,0,0,0,0
2004-06-19,0,13,12,0,2,0,8,13,0,0,0,1,0,0,22,0,0,0,0,0,0
2004-07-18,0,14,8,0,0,1,3,19,0,0,0,1,0,0,24,0,0,0,0,0,0
2004-08-19,0,10,6,0,0,0,4,13,0,0,0,1,0,0,24,0,0,0,0,0,0
2004-09-11,0,5,3,0,0,0,1,14,0,0,0,0,0,0,34,0,0,0,0,0,0
2004-10-16,0,10,7,0,1,0,5,21,2,0,0,0,0,0,25,0,0,0,0,0,0
2004-11-13,0,4,4,0,0,0,6,36,4,0,0,0,0,0,12,0,0,0,0,0,0
2004-12-11,0,16,8,0,1,0,4,17,1,0,0,1,0,0,4,0,0,0,0,0,0
2005-01-15,0,8,14,0,2,0,3,16,2,0,0,0,0,1,3,0,0,0,0,0,0
2005-03-12,0,15,15,0,0,0,1,9,0,0,0,0,0,0,13,0,0,0,0,0,0
2005-04-09,0,11,9,0,0,0,1,7,0,0,0,0,0,0,25,0,0,0,0,0,0
2005-05-07,0,12,14,0,0,0,5,8,0,0,0,0,0,0,21,0,0,0,0,0,0
2005-06-04,0,13,15,0,0,0,3,10,0,0,0,0,0,0,31,0,0,0,0,0,0
2005-07-09,0,10,9,0,0,0,4,15,1,0,0,9,0,0,39,0,0,0,0,0,0
2005-08-06,0,12,10,0,0,0,3,22,0,0,0,8,0,0,59,0,0,0,0,0,0
2005-09-03,0,12,12,0,0,0,6,33,0,0,0,4,0,0,55,0,0,0,0,0,0
2005-09-30,0,9,10,0,0,2,6,34,2,1,0,3,0,0,45,0,0,0,0,0,0
2005-11-05,0,14,12,0,1,2,16,31,2,4,0,0,0,0,20,0,0,0,0,0,0
2005-12-09,0,12,11,0,1,1,9,18,2,0,0,1,0,0,2,0,3,0,0,0,0
2006-01-07,0,13,14,0,0,0,10,19,1,0,0,0,0,1,2,0,1,0,0,0,0
2006-01-28,0,12,14,0,1,0,8,18,2,0,0,0,0,1,3,0,2,0,0,0,0
2006-03-04,0,18,7,0,0,0,2,14,4,1,0,0,0,0,5,0,0,1,0,0,0
2006-03-25,0,15,8,0,0,0,6,14,3,3,0,1,0,0,13,0,0,0,0,0,0
2006-04-29,0,21,9,0,0,0,3,10,0,1,0,1,0,0,35,0,0,0,0,0,0
2006-05-27,0,16,9,0,0,1,2,13,0,1,0,0,0,1,34,0,0,0,0,0,0
2006-06-25,0,12,12,0,0,0,0,4,0,0,0,0,0,0,58,0,0,0,0,0,0
2006-07-22,0,14,7,0,0,0,0,17,0,1,0,0,0,0,61,0,0,0,0,0,0
2006-08-20,0,10,6,0,0,0,2,4,0,0,0,0,0,0,18,0,0,0,0,0,0
2006-09-23,0,4,2,0,0,0,0,6,0,0,0,0,0,0,25,0,0,0,0,0,0
2006-10-21,0,12,1,0,1,0,0,14,0,0,0,0,0,0,41,0,0,0,0,0,0
2006-11-18,0,11,4,0,1,0,3,21,1,0,0,0,0,1,85,0,0,0,0,1,0
2006-12-16,0,17,6,0,1,0,2,30,5,0,0,0,0,0,60,0,0,0,0,3,0
2007-01-21,0,10,12,0,0,8,6,34,6,0,0,0,0,0,26,0,2,0,0,6,0
2007-02-17,0,18,12,0,3,0,3,36,3,0,0,0,0,0,34,0,1,0,0,11,0
2007-03-17,0,14,17,0,1,0,7,29,3,2,0,0,0,0,70,0,1,0,0,15,0
2007-04-14,0,19,11,0,1,0,5,35,6,0,0,0,0,1,46,0,2,0,0,15,0
2007-05-19,0,17,11,0,3,0,11,53,2,2,0,0,0,5,51,0,0,0,1,12,0
2007-06-16,0,23,21,0,2,0,6,68,2,1,0,0,0,2,65,0,2,0,2,12,0
2007-07-14,0,19,17,0,1,1,10,71,2,2,0,0,1,0,83,0,1,0,1,2,0
2007-08-11,2,10,14,0,6,2,10,72,0,0,0,0,0,2,70,0,4,0,0,2,0
2007-09-08,1,22,20,0,0,1,21,53,0,3,0,0,3,1,66,0,0,0,6,2,0
2007-10-13,8,29,23,0,2,2,22,42,5,3,0,0,0,3,19,0,2,0,7,0,0
2007-11-10,8,27,25,0,2,3,25,36,3,6,0,0,5,3,12,0,9,0,1,4,0
2007-12-15,4,32,27,0,2,3,11,26,4,0,0,0,2,3,0,0,9,0,4,0,0
2008-01-12,0,26,25,1,1,2,8,21,1,0,0,0,4,0,0,0,5,0,3,1,0
2008-02-09,0,34,24,1,2,1,6,22,0,0,0,0,2,3,1,0,5,0,4,0,0
2008-03-09,0,34,25,1,1,0,9,23,1,0,0,0,1,1,3,0,3,0,1,1,0
2008-04-06,3,31,28,2,1,0,6,21,0,1,0,0,0,5,19,0,5,0,4,2,0
2008-05-03,4,34,36,2,4,2,7,23,1,5,0,0,1,5,34,0,5,0,6,1,0
2008-06-07,4,35,30,3,2,0,9,20,2,6,0,0,0,3,26,0,1,0,5,0,0
2008-06-28,1,35,29,4,2,0,8,20,0,8,0,0,0,2,34,0,1,0,1,0,0
2008-07-26,0,20,19,1,1,0,4,6,0,2,0,0,0,0,11,0,0,0,2,0,0
2008-08-30,0,10,10,3,1,0,6,12,0,0,0,0,0,0,21,0,0,0,1,0,0
2008-09-27,0,12,11,2,3,0,7,12,0,1,0,0,0,0,21,0,0,0,0,0,0
2008-10-26,0,14,13,4,2,0,8,11,1,1,0,0,0,0,5,0,0,0,0,0,0
2008-11-22,0,20,17,3,4,0,1,9,2,1,0,0,0,0,1,0,0,0,1,0,0
2008-12-20,0,21,18,2,1,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-24,1,18,17,1,3,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-21,1,23,14,1,3,0,2,5,2,0,0,0,0,0,0,0,2,0,0,0,0
2009-03-21,0,19,21,0,3,1,3,3,0,1,0,0,0,0,6,0,0,0,0,0,0
2009-04-26,2,15,19,0,3,1,4,8,0,1,0,0,0,0,22,0,0,0,2,0,0
2009-05-23,2,20,22,0,1,1,2,11,1,2,0,0,0,0,24,0,0,0,1,0,0
2009-06-20,1,14,19,1,1,0,1,10,0,0,0,0,0,0,30,0,0,0,1,0,0
2009-07-29,1,15,13,2,1,1,1,8,0,0,0,0,0,0,23,0,0,0,0,0,0
2009-08-22,0,14,10,2,2,0,2,6,1,0,0,0,0,0,9,0,0,0,0,0,0
2009-09-19,0,12,3,3,1,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0
2009-10-17,0,8,2,2,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-14,0,9,1,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-12,0,7,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-16,0,8,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-13,0,10,1,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-03-13,0,11,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
2010-04-17,0,15,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0
2010-05-15,0,16,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0
2010-07-10,0,11,0,0,0,0,2,2,0,0,0,0,0,0,18,0,0,0,0,0,0
2010-09-05,0,12,2,0,1,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
2010-11-06,0,15,1,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0
2011-01-05,0,20,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-05,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-14,0,18,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2011-04-02,0,20,4,0,0,0,1,0,0,1,0,0,0,0,20,0,0,0,0,0,0
2011-05-07,0,20,1,0,0,0,1,0,0,1,0,0,0,0,33,0,0,0,0,0,0
2011-05-26,0,9,2,0,0,0,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0
2011-07-02,0,9,1,0,0,0,0,1,0,0,0,0,0,0,31,0,0,0,0,0,0
2011-08-06,0,14,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
2011-08-27,0,11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
2011-10-01,0,13,0,0,0,0,2,1,0,0,0,0,0,0,67,0,0,0,0,0,0
2011-10-22,0,13,0,0,0,0,2,1,1,1,0,0,0,0,70,0,0,0,0,0,0
2011-12-17,0,20,0,0,0,2,2,2,10,0,0,0,0,0,4,0,0,0,0,0,0
2012-01-21,0,26,2,0,0,4,0,2,8,2,0,0,0,0,2,0,1,1,0,0,0
2012-02-19,0,23,0,0,0,6,1,2,2,6,0,0,0,0,10,0,2,1,0,0,0
2012-03-12,0,23,2,0,0,2,0,3,4,5,0,0,0,0,27,0,0,0,0,0,0
2012-04-21,0,28,0,0,1,4,2,2,2,1,0,0,0,0,50,0,0,0,0,0,0
2012-05-26,0,37,4,0,1,1,0,4,4,3,0,0,0,0,63,0,1,0,0,0,0
2012-06-16,0,39,1,0,1,0,1,3,2,1,0,0,0,0,78,0,0,0,0,0,0
2012-07-28,0,41,2,0,0,0,1,7,2,0,0,0,0,0,116,0,0,0,0,0,0
2012-08-18,0,40,2,0,0,0,2,2,0,2,0,0,0,0,93,0,0,0,0,0,0
2012-09-15,0,37,2,0,0,2,4,6,2,0,0,0,0,0,67,0,0,0,0,0,0
2012-10-13,0,40,1,0,0,5,5,5,2,0,0,0,0,0,48,0,0,0,0,0,0
2012-11-10,0,40,1,0,1,3,5,4,3,0,0,0,0,0,14,0,0,0,0,0,0
2012-12-08,0,51,2,0,1,1,0,3,5,0,0,0,0,0,4,0,0,0,0,0,0
2013-01-12,0,37,2,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-16,0,37,2,0,1,2,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0
2013-03-13,0,39,6,0,1,2,1,2,3,2,0,0,0,0,4,0,0,1,0,0,0
2013-04-13,2,38,3,0,1,0,0,1,1,0,0,0,0,0,36,0,0,0,0,0,0
2013-05-11,0,36,3,0,0,2,2,4,0,0,0,0,0,0,48,0,0,0,0,0,0
2013-07-06,0,31,3,0,0,0,0,3,0,1,0,0,0,0,62,0,0,0,0,0,0
2013-09-14,0,28,4,0,0,0,1,3,0,0,0,0,0,0,55,0,0,0,0,0,0
2013-11-02,0,28,2,0,1,3,1,7,2,0,0,0,0,0,28,0,0,0,0,0,0
2013-12-29,0,39,1,0,0,0,2,6,4,0,0,0,0,0,2,0,1,0,0,0,0
2014-02-01,0,52,8,0,1,3,1,3,3,0,0,0,0,0,1,0,4,0,0,0,0
2014-03-01,0,47,5,0,1,1,2,5,7,0,0,0,0,0,14,0,2,0,1,0,0
2014-03-29,1,49,9,0,0,2,0,2,4,0,0,0,0,0,32,0,4,0,0,0,0
2014-04-26,0,41,13,0,2,2,4,4,3,0,0,0,0,0,42,0,1,0,0,0,0
2014-05-31,0,36,7,0,1,2,0,4,1,0,0,0,0,0,67,0,0,0,0,0,0
2014-06-28,1,37,6,0,0,1,1,3,1,0,0,0,0,0,97,0,0,0,1,0,0
2014-08-02,0,35,10,0,1,0,3,2,0,0,0,0,0,0,49,0,1,0,0,0,0
2014-08-30,1,31,6,0,0,1,4,3,1,0,0,0,0,0,85,0,0,0,0,0,0
2014-09-27,1,29,4,0,1,0,3,5,0,0,0,0,0,0,55,0,0,0,0,0,0
2014-10-25,0,29,7,0,1,0,8,4,0,0,1,0,0,0,32,0,0,0,3,0,0
2014-11-22,1,25,7,0,1,4,5,5,4,0,0,0,0,0,12,0,1,0,0,1,0
2014-12-13,8,20,10,0,2,8,8,6,12,0,0,0,0,0,18,0,2,2,2,0,0
2015-01-17,2,35,10,0,1,6,7,1,5,0,0,0,0,0,6,0,4,2,1,0,0
2015-02-21,2,43,14,0,1,7,4,4,8,1,0,0,0,0,18,0,10,2,9,1,0
2015-03-26,12,34,16,0,1,2,3,3,3,0,0,0,0,0,36,0,14,2,7,3,0
